Entry Key,EID,G1,G2,MID,A,J,C,NSM
CONROD,476235,47623,47550,160002,78.,0.,0.,0.
CONROD,471235,47123,47050,160002,78.,0.,0.,0.
CONROD,80229,69001,84101,190002,32.,0.,0.,0.
CONROD,80231,69003,84103,190002,100.,0.,0.,0.
CONROD,80232,69004,84104,190002,32.,0.,0.,0.
CONROD,80233,69005,84105,190002,32.,0.,0.,0.
CONROD,80234,69006,84106,190002,32.,0.,0.,0.
CONROD,80235,69007,84107,190002,106.,0.,0.,0.
CONROD,80236,69008,84108,190002,32.,0.,0.,0.
CONROD,80237,69009,84109,190002,32.,0.,0.,0.
CONROD,80238,69010,84110,190002,32.,0.,0.,0.
CONROD,80239,69011,84111,190002,32.,0.,0.,0.
CONROD,80240,69012,84112,190002,32.,0.,0.,0.
CONROD,80241,69013,84113,190002,32.,0.,0.,0.
CONROD,80242,69014,84114,190002,32.,0.,0.,0.
CONROD,80243,69015,84115,190002,32.,0.,0.,0.
CONROD,80244,69016,84116,190002,32.,0.,0.,0.
CONROD,80245,69017,84117,190002,32.,0.,0.,0.
CONROD,80246,69018,84118,190002,32.,0.,0.,0.
CONROD,80247,69019,84119,190002,32.,0.,0.,0.
CONROD,80248,69020,84120,190002,32.,0.,0.,0.
CONROD,80249,69021,84121,190002,32.,0.,0.,0.
CONROD,80250,69022,84122,190002,32.,0.,0.,0.
CONROD,80251,69023,84124,190002,18.,0.,0.,0.
CONROD,80253,69026,84126,190002,32.,0.,0.,0.
CONROD,80254,69028,84128,190002,32.,0.,0.,0.
CONROD,80255,69031,84131,190002,32.,0.,0.,0.
CONROD,80256,69032,84132,190002,32.,0.,0.,0.
CONROD,80257,69033,84133,190002,32.,0.,0.,0.
CONROD,80258,69037,84137,190002,32.,0.,0.,0.
CONROD,80259,69040,84140,190002,32.,0.,0.,0.
CONROD,80260,69041,84141,190002,32.,0.,0.,0.
CONROD,80261,69042,84142,190002,32.,0.,0.,0.
CONROD,80263,69044,84144,190002,32.,0.,0.,0.
CONROD,80591,69501,84601,190002,32.,0.,0.,0.
CONROD,80593,69503,84603,190002,100.,0.,0.,0.
CONROD,80594,69504,84604,190002,32.,0.,0.,0.
CONROD,80595,69505,84605,190002,32.,0.,0.,0.
CONROD,80596,69506,84606,190002,32.,0.,0.,0.
CONROD,80597,69507,84607,190002,106.,0.,0.,0.
CONROD,80598,69508,84608,190002,32.,0.,0.,0.
CONROD,80599,69509,84609,190002,32.,0.,0.,0.
CONROD,80600,69510,84610,190002,32.,0.,0.,0.
CONROD,80601,69511,84611,190002,32.,0.,0.,0.
CONROD,80602,69512,84612,190002,32.,0.,0.,0.
CONROD,80603,69513,84613,190002,32.,0.,0.,0.
CONROD,80604,69514,84614,190002,32.,0.,0.,0.
CONROD,80605,69515,84615,190002,32.,0.,0.,0.
CONROD,80606,69516,84616,190002,32.,0.,0.,0.
CONROD,80607,69517,84617,190002,32.,0.,0.,0.
CONROD,80608,69518,84618,190002,32.,0.,0.,0.
CONROD,80609,69519,84619,190002,32.,0.,0.,0.
CONROD,80610,69520,84620,190002,32.,0.,0.,0.
CONROD,80611,69521,84621,190002,32.,0.,0.,0.
CONROD,80612,69522,84622,190002,32.,0.,0.,0.
CONROD,80613,69523,84624,190002,18.,0.,0.,0.
CONROD,80615,69526,84626,190002,32.,0.,0.,0.
CONROD,80616,69528,84628,190002,32.,0.,0.,0.
CONROD,80617,69531,84631,190002,32.,0.,0.,0.
CONROD,80618,69532,84632,190002,32.,0.,0.,0.
CONROD,80619,69533,84633,190002,32.,0.,0.,0.
CONROD,80620,69537,84637,190002,32.,0.,0.,0.
CONROD,80621,69540,84640,190002,32.,0.,0.,0.
CONROD,80622,69541,84641,190002,32.,0.,0.,0.
CONROD,80623,69542,84642,190002,32.,0.,0.,0.
CONROD,80736,70068,69002,190002,360.,0.,0.,0.
CONROD,80737,70568,69502,190002,360.,0.,0.,0.
CONROD,640012,64001,65001,180002,98.,0.,0.,0.
CONROD,640022,64002,65002,180002,98.,0.,0.,0.
CONROD,640032,64003,65003,180002,98.,0.,0.,0.
CONROD,640042,64004,65004,180002,98.,0.,0.,0.
CONROD,640052,64005,65005,180002,103.,0.,0.,0.
CONROD,640062,64006,65006,180002,93.,0.,0.,0.
