Entry Key,PID,MID,A,I1,I2,J,NSM,C1,C2,D1,D2,E1,E2,F1,F2,K1,K2,I12
PBAR,1,174001,906.,4302.,12909.,13428.,,,,,,,,,,,,
PBAR,2,1,351.,146000.,,,,,,,,,,,,,,
PBAR,3,1,148.,77600.,,,,,,,,,,,,,,
PBAR,4,1,151.,84100.,,,,,,,,,,,,,,
PBAR,5,1,231.,147000.,,,,,,,,,,,,,,
PBAR,6,1,307.,203000.,,,,,,,,,,,,,,
PBAR,7,1,239.,172000.,,,,,,,,,,,,,,
PBAR,8,1,169.,132000.,,,,,,,,,,,,,,
PBAR,9,1,166.,124000.,,,,,,,,,,,,,,
PBAR,10,1,174.,148000.,,,,,,,,,,,,,,
PBAR,11,1,252.,221000.,,,,,,,,,,,,,,
PBAR,12,1,171.,140000.,,,,,,,,,,,,,,
PBAR,13,1,174.,106000.,,,,,,,,,,,,,,
PBAR,14,1,150.,75000.,,,,,,,,,,,,,,
PBAR,15,1,164.,96000.,,,,,,,,,,,,,,
PBAR,16,1,149.,61000.,,,,,,,,,,,,,,
PBAR,17,1,157.,75000.,,,,,,,,,,,,,,
PBAR,18,1,141.,48000.,,,,,,,,,,,,,,
PBAR,19,1,390.,149000.,,,,,,,,,,,,,,
PBAR,20,1,708.,191380.,1.8489+6,2848.,,,,,,,,,,,,
PBAR,21,1,125.,66000.,,,,,,,,,,,,,,
PBAR,22,1,147.,63000.,,,,,,,,,,,,,,
PBAR,23,150001,743.245,878181.,,,,,,,,,,,,1.,1.,
PBAR,24,2,171.,65500.,14800.,164.,,,,,,,,,,,,
PBAR,25,170901,710.76,855475.,,,,,,,,,,,,,,
PBAR,26,170901,427.02,511000.,10.,10.,,,,,,,,,,,,
PBAR,44,170901,363.64,435000.,10.,10.,,,,,,,,,,,,
PBAR,45,160001,631.762,319394.,150263.,3661.18,,,,,,,,,,.181921,.600766,-.45915
PBAR,46,160001,452.186,213025.,130374.,1221.13,,,,,,,,,,.209696,.558843,.103065
PBAR,173087,174004,351.,146000.,,,,,,,,,,,,,,
PBAR,150016,150001,128.,56700.,,,,,,,,,,,,,,
PBAR,150043,150001,493.4,204217.,,,,,,,,,,,,,,
PBAR,150248,150001,154.,67600.,,,,,,,,,,,,,,
PBAR,150249,150001,180.,78400.,,,,,,,,,,,,,,
PBAR,150250,150001,170.,71700.,,,,,,,,,,,,,,
PBAR,150251,150001,161.,64900.,,,,,,,,,,,,,,
PBAR,150252,150001,162.,66400.,,,,,,,,,,,,,,
PBAR,150253,150001,168.,77500.,,,,,,,,,,,,,,
PBAR,150254,150001,255.,140000.,,,,,,,,,,,,,,
PBAR,150255,150001,336.,193000.,,,,,,,,,,,,,,
